CONTENTS,,,,,,,,SEO & DISCOVERABILITY,,PERFORMANCE & AI,,ALERTS,Others,,,,SEO METRICS — UBERSUGGEST (US+UK+AU+CA),
Numbers,Publish Date,Publish Day,Topic,Funnel Stage,Author,Reviewer,Publisher,Target Keyword,Primary Keyword Position,AI Presence (rank + screenshot),Blog Views,🔔 Report Last Update Date,Quarter (auto),Links,Pub Month,Pub Year,Search Volume (Combined: US+UK+AU+CA),Other Ranking Keywords + Position (Ubersuggest — US)
June 2026,,,,,,,,,,,,,,,,,,
1,2026-06-01,Monday,"xCloud May 2026 Release Notes: Free Mailbox, One-Click Server Rebuild, Client Reports & 75+ Enhancements",MOFU,Tomal,Ahmed,Tasnia,xCloud May 2026 Release Notes,1,,43,2026-06-05,2026-Q2,https://xcloud.host/xcloud-may-2026-release-notes/,2026-06,2026,—,None found in top 100
2,2026-06-01,Monday,Why Traditional Security Isn't Enough to Protect Your WordPress Sites in 2026,TOFU,Tomal,Ahmed,Tasnia,Protect Your WordPress Sites in 2026,—,,9,2026-06-05,2026-Q2,https://xcloud.host/traditional-security-not-enough-protect-your-wordpress-sites/,2026-06,2026,—,None found in top 100
3,2026-06-09,Tuesday,How to Safely Move Websites & Web Apps Off cPanel (2026 Detailed Guide),BOFU,Tomal,Ahmed,Tasnia,Migrate Websites From cPanel,—,,,,2026-Q2,https://xcloud.host/how-to-safely-move-websites-web-apps-off-cpanel/,2026-06,2026,—,None found in top 100
4,2026-06-12,Friday,"Stop Clients Asking ""What Am I Paying For?"" — The Agency Guide to Website Maintenance Reports",BOFU,Tomal,Ahmed,Tasnia,Website Maintainance Reports,—,,,,2026-Q2,https://xcloud.host/the-agency-guide-to-website-maintenance-reports/,2026-06,2026,—,None found in top 100
5,2026-06-01,Monday,What is HTTP 500 Internal Server Error & How to Fix It?,MOFU,,,,HTTP 500 Internal Server Error,—,,,,2026-Q2,https://xcloud.host/what-is-http-500-internal-server-error/,2026-06,2026,—,None found in top 100
6,2026-06-01,Monday,Web Hosting Security Best Practices and What to Look For in Secure Website Hosting,MOFU,,,,Web Hosting Security Best Practices,NR,,,,2026-Q2,https://xcloud.host/web-hosting-security-best-practices/,2026-06,2026,30,None found in top 100
7,2026-06-01,Monday,Unlock Full Control of Your Hosting: Automate Server Management with the xCloud API,TOFU,,,,xCloud API,—,,,,2026-Q2,https://xcloud.host/automate-server-management-with-the-xcloud-api/,2026-06,2026,—,None found in top 100
8,2026-06-01,Monday,xCloud Sponsors WordCamp Rajshahi 2026: Meet Us in the Silk City,TOFU,,,,WordCamp Rajshahi 2026,—,,,,2026-Q2,https://xcloud.host/xcloud-sponsors-wordcamp-rajshahi-2026-me/,2026-06,2026,—,None found in top 100
9,2026-06-01,Monday,,BOFU,,,,,,,,,2026-Q2,,2026-06,2026,,
10,2026-06-01,Monday,,MOFU,,,,,,,,,2026-Q2,,2026-06,2026,,
May 2026,,,,,,,,,,,,,,,,,,
11,2026-05-23,Saturday,Best CMS in 2026: How to Choose the Right Platform for Your Website,MOFU,Tomal,Ahmed,Tasnia,Best CMS in 2026,Not Ranked,,20,2026-05-23,2026-Q2,https://xcloud.host/best-cms-choose-the-right-platform-for-your-website/,2026-05,2026,40,None found in top 100
12,2026-05-22,Friday,Millions of cPanel Sites at Risk: The CVE-2026-41940 Authentication Bypass Explained,TOFU,Tomal,Ahmed,Tasnia,CVE-2026-41940 Authentication Bypass,Not Ranked,,30,2026-05-22,2026-Q2,https://xcloud.host/millions-of-cpanel-sites-at-risk-cve-2026-41940-authentication-bypass/,2026-05,2026,—,None found in top 100
13,2026-05-21,Thursday,"What's New in WordPress 7.0: AI Integration, New Blocks, and Much More",TOFU,Tomal,Ahmed,Tasnia,cPanel CVE-2026-41940 Authentication,Not Ranked,,35,2026-05-21,2026-Q2,https://xcloud.host/whats-new-in-wordpress-7-0/,2026-05,2026,—,None found in top 100
14,2026-05-20,Wednesday,What Is Node Package Manager (npm)? A Beginner Guide,TOFU,Fatin,Ahmed,Tasnia,What Is Node Package Manager,Not Ranked,,20,2026-05-20,2026-Q2,https://xcloud.host/what-is-node-package-manager-npm-beginner-guide/,2026-05,2026,"7,480",None found in top 100
15,2026-05-18,Monday,6 Best SMTP and Email API Providers for SaaS [2026],BOFU,Guest,Ahmed,Tasnia,Best SMTP and Email API Providers,Not Ranked,,27,2026-05-18,2026-Q2,https://xcloud.host/best-smtp-and-email-api-providers-for-saas/,2026-05,2026,—,None found in top 100
16,2026-05-18,Monday,What is WordPress MCP Integration? Benefits & How It Works (2026 Guide),MOFU,Tomal,Ahmed,Tasnia,What is WordPress MCP Integration,Not Ranked,,34,2026-05-18,2026-Q2,https://xcloud.host/what-is-wordpress-mcp-integration-benefits-how-it-works/,2026-05,2026,—,None found in top 100
17,2026-05-14,Thursday,"How xCloud Keeps Your WordPress Sites Safe: 53,000+ threats blocked and 300+ sites protected in just 90 days.",BOFU,Guest,Tomal,Tasnia,How xCloud Keeps Your WordPress Sites Safe,Not Ranked,,34,2026-05-14,2026-Q2,https://xcloud.host/how-xcloud-keeps-your-wordpress-sites-safe/,2026-05,2026,—,None found in top 100
18,2026-05-08,Friday,"How xCloud Patched Copy Fail and Dirty Frag on Zero Day Across 10,000+ Servers (2026 Linux Kernel Response)",BOFU,M Asif Rahman,Tomal,Tasnia,How xCloud Patched Copy Fail and Dirty Frag,Not Ranked,,75,2026-05-08,2026-Q2,https://xcloud.host/xcloud-patched-copy-fail-and-dirty-frag-on-zero-day/,2026-05,2026,—,None found in top 100
19,2026-05-11,Monday,[Free Mailbox] The New xCloud Mailbox: Unlock Productivity With Smart Features & More,BOFU,Tomal,Ahmed,Tasnia,New xCloud Mailbox,Not Ranked,,8,2026-05-11,2026-Q2,https://xcloud.host/new-xcloud-mailbox-with-ai-features/,2026-05,2026,—,None found in top 100
20,2026-05-06,Wednesday,OpenAI GPT-5.5 vs Claude Opus 4.7: Which One Should Power Your OpenClaw AI Agent?,MOFU,Tomal,Tomal,Tasnia,OpenAI GPT-5.5 vs Claude Opus 4.7,Not Ranked,,53,2026-05-06,2026-Q2,https://xcloud.host/openai-gpt-5-5-vs-claude-opus-4-7/,2026-05,2026,—,None found in top 100
21,2026-05-05,Tuesday,"xCloud April 2026 Release Notes: Hermes Agent, Paperclip AI, Infrastructure Upgrade & More",BOFU,Tomal,Tomal,Tasnia,xCloud April 2026 Release Notes,Not Ranked,,103,2026-05-05,2026-Q2,https://xcloud.host/xcloud-april-2026-release-notes/,2026-05,2026,—,None found in top 100
22,2026-05-04,Monday,Top 10 cPanel Alternatives for Server Management in 2026 (Tested & Compared),BOFU,M Asif Rahman,Tomal,Tasnia,Top 10 cPanel Alternatives,Not Ranked,,55,2026-05-04,2026-Q2,https://xcloud.host/top-10-cpanel-alternatives-for-server-management/,2026-05,2026,—,None found in top 100
23,2026-05-01,Friday,"9 Best Hosting for WooCommerce in 2026: Speed, Cost & Scalability Compared",BOFU,M Asif Rahman,Tomal,Tasnia,Best Hosting for WooCommerce,Not Ranked,,35,2026-05-01,2026-Q2,https://xcloud.host/best-hosting-for-woocommerce/,2026-05,2026,150,None found in top 100
April 2026,,,,,,,,,,,,,,,,,,
24,2026-04-30,Thursday,"9 Best Hermes Agent Hosting Providers in 2026: Compared on Setup, Cost, Memory & 24/7 Uptime (Complete Guide)",BOFU,M Asif Rahman,Tomal,Tasnia,Best Hermes Agent Hosting Providers,—,,456,,2026-Q2,https://xcloud.host/best-hermes-agent-hosting-providers/,2026-04,2026,—,None found in top 100
25,2026-04-29,Wednesday,"What is Hermes Agent? Features, How It Works, and Use Cases (Complete 2026 Guide)",TOFU,Tomal,Ahmed,Tasnia,What is Hermes Agent,NR,,264,,2026-Q2,https://xcloud.host/what-is-hermes-agent-features-and-use-cases/,2026-04,2026,650,hermes agent hosting #26
26,2026-04-28,Tuesday,OpenClaw vs Paperclip vs Hermes (2026): Which Open-Source AI Agent Platform Wins? (Complete Comparison Guide),MOFU,M Asif Rahman,Tomal,Tasnia,OpenClaw vs Paperclip vs Hermes,15,,823,,2026-Q2,https://xcloud.host/openclaw-vs-paperclip-vs-hermes/,2026-04,2026,—,paperclip vs openclaw #15; openclaw paperclip #16
27,2026-04-27,Monday,"Top Use Cases of n8n for eCommerce, SaaS & Agencies",MOFU,Fatin,Ahmed,Tasnia,Top Use Cases of n8n,—,,566,,2026-Q2,https://xcloud.host/use-cases-of-n8n-for-ecommerce-saas/,2026-04,2026,—,None found in top 100
28,2026-04-23,Thursday,What is Paperclip? 10 Paperclip Use Cases to Automate Operations with AI Agents (2026 Guide),TOFU,Tomal,Ahmed,Tasnia,What is Paperclip,NR,,238,,2026-Q2,https://xcloud.host/what-is-paperclip-and-paperclip-use-cases/,2026-04,2026,290,paperclip vps #20; paperclip ai review #32; paperclip ai company #39; paperclip agents #41 (70)
29,2026-04-16,Thursday,What Is Docker Compose? How to Use It with An Example,TOFU,Fatin,Ahmed,Tasnia,What Is Docker Compose,51,,603,,2026-Q2,https://xcloud.host/what-is-docker-compose/,2026-04,2026,"1,200",run docker compose #58 (260); what does docker compose do #61 (210); docker compose platform #49 (170); run docker compose file #55 (140); how does docker compose work #42; docker compose format #42; docker compose yml file #54
30,2026-04-15,Wednesday,CloudFest 2026: Highlights from the World's Premier Cloud Event,TOFU,Fatin,Ahmed,Tasnia,CloudFest 2026,NR,,301,,2026-Q2,https://xcloud.host/xcloud-at-cloudfest-2026-highlights/,2026-04,2026,290,None found in top 100
31,2026-04-09,Thursday,PHP Hosting Setup Checklist (2026 Edition),MOFU,Tomal,Ahmed,Tasnia,PHP Hosting Setup Checklist,—,,722,,2026-Q2,https://xcloud.host/php-hosting-setup-checklist/,2026-04,2026,—,None found in top 100
32,2026-04-06,Monday,Top 7 Reasons to Choose Node.js for Web Development Project in 2026,TOFU,Fatin,Ahmed,Tasnia,Reasons to Choose Node.js,—,,850,,2026-Q2,https://xcloud.host/top-reasons-to-choose-node-js-for-web-development/,2026-04,2026,—,None found in top 100
33,2026-04-02,Thursday,How to Add HTTP Headers And Redirects in WordPress (Without Plugins),TOFU,Tomal,Ahmed,Tasnia,HTTP Headers And Redirects in WordPress,—,,398,,2026-Q2,https://xcloud.host/add-wordpress-http-headers-and-redirects/,2026-04,2026,—,None found in top 100
34,2026-04-01,Wednesday,"xCloud March 2026 Release Notes: Cloudflare WAF, Site Insights, OpenClaw AI Repair & More",BOFU,Tomal,Ahmed,Tasnia,xCloud March 2026 Release Notes,—,,377,,2026-Q2,https://xcloud.host/xcloud-march-2026-release-notes/,2026-04,2026,—,None found in top 100
March 2026,,,,,,,,,,,,,,,,,,
35,2026-03-26,Thursday,How to Clear Website Cache And Fix Common Issues,TOFU,Fatin,Ahmed,Tasnia,How to Clear Website Cache,NR,,445,,2026-Q1,https://xcloud.host/how-to-clear-website-cache/,2026-03,2026,"70,400",how to clear cache from a specific website #31 (110); clear cache for website #59 (320); how to clear cache on a website #63 (880); how to clear cache for a website #79 (880); how to reset website cache #76; caching issues #80
36,2026-03-18,Wednesday,Why Your OpenClaw Agent Keeps Forgetting Things and How to Fix It for Good,MOFU,M Asif Rahman,Tomal,Tasnia,OpenClaw Agent Memory,NR,,"1,121",,2026-Q1,https://xcloud.host/openclaw-agent-keeps-forgetting-and-how-to-fix-it/,2026-03,2026,40,None found in top 100
37,2026-03-17,Tuesday,7 Proactive OpenClaw Agent Workflows in 2026: Make Your AI Work Perfectly Without Being Asked (Complete Guide),MOFU,M Asif Rahman,Tomal,Tasnia,OpenClaw Agent Workflows,—,,"1,024",,2026-Q1,https://xcloud.host/proactive-openclaw-agent-workflows/,2026-03,2026,—,None found in top 100
38,2026-03-16,Monday,Getting Started with OpenClaw Skills and ClaWHub on Your xCloud OpenClaw Agent,BOFU,M Asif Rahman,Tomal,Tasnia,OpenClaw Skills and ClaWHub,—,,877,,2026-Q1,https://xcloud.host/openclaw-skills-and-clawhub-on-xcloud-openclaw-agent/,2026-03,2026,—,None found in top 100
39,2026-03-12,Thursday,How to Use ClaWHub to Add New Powers to Your OpenClaw Agent: Complete Guide 2026 (Top 10 Skills Ranked),MOFU,M Asif Rahman,Tomal,Tasnia,How to Use ClaWHub,NR,,896,,2026-Q1,https://xcloud.host/how-to-use-clawhub-for-your-openclaw-agent/,2026-03,2026,50,None found in top 100
40,2026-03-12,Thursday,5 OpenClaw Sub-Agent Configurations That 10x Your AI Workflow in 2026 (Complete Setup Guide),MOFU,M Asif Rahman,Tomal,Tasnia,OpenClaw Sub-Agent Configurations,—,,792,,2026-Q1,https://xcloud.host/openclaw-sub-agent-configurations/,2026-03,2026,—,None found in top 100
41,2026-03-09,Monday,OpenClaw Use Cases: How Can You Automate Your Work with Your Personal AI Assistant [A Real Ready SaaS Inside],MOFU,Tomal,Tomal,Tasnia,OpenClaw Use Cases,NR,,559,,2026-Q1,https://xcloud.host/openclaw-use-cases-how-can-you-automate-your-work-with-your-personal-ai-assistant-a-real-ready-saas-inside/,2026-03,2026,"1,550",None found in top 100
42,2026-03-05,Thursday,OpenClaw in Action: How an AI Agent Built a Production-Ready SaaS App in 4 Days,BOFU,Tomal,Tomal,Tasnia,OpenClaw AI Agent SaaS App,—,,889,,2026-Q1,https://xcloud.host/openclaw-in-action-how-ai-agent-built-ready-saas-app/,2026-03,2026,—,None found in top 100
43,2026-03-03,Tuesday,"xCloud February 2026 Release Notes: OpenClaw Hosting, PHP-FPM Configuration & 25+ Improvements & Bug Fixes",BOFU,Tomal,Tomal,Tasnia,xCloud February 2026 Release Notes,—,,513,,2026-Q1,https://xcloud.host/xcloud-february-2026-release-notes/,2026-03,2026,—,None found in top 100
February 2026,,,,,,,,,,,,,,,,,,
44,2026-02-19,Thursday,OpenClaw + n8n Integration in 2026: How to Build Secure AI Agent Workflows on Affordable Hosting (Complete Guide),MOFU,M Asif Rahman,Tomal,Tasnia,OpenClaw n8n Integration,14,,"1,050",,2026-Q1,https://xcloud.host/openclaw-n8n-integration/,2026-02,2026,40,n8n openclaw #14; openclaw vs n8n #17; n8n vs openclaw #27 (170)
45,2026-02-17,Tuesday,What Is Docker? Discover Its Components And How It Works,TOFU,Fatin,Ahmed,Tasnia,What Is Docker,NR,,"1,430",,2026-Q1,https://xcloud.host/what-is-docker-understanding-its-components/,2026-02,2026,"16,600",docker explained #31 (320); mean docker #41
46,2026-02-11,Wednesday,Django vs Node.js: Which Is Better for Web Development?,TOFU,Fatin,Ahmed,Tasnia,Django vs Node.js,NR,,"6,238",,2026-Q1,https://xcloud.host/django-vs-nodejs-web-development-guide/,2026-02,2026,240,django vs node js #32 (170)
47,2026-02-08,Sunday,"7 OpenClaw Security Best Practices in 2026 Protect – Your AI Agent from CVEs, Malware & Data Theft (Complete Guide)",MOFU,M Asif Rahman,Ahmed,Tasnia,OpenClaw Security Best Practices,19,,"1,200",,2026-Q1,https://xcloud.host/openclaw-security-best-practices/,2026-02,2026,70,openclaw security setup #17; openclaw security best practices #19 (exact target)
48,2026-02-07,Saturday,"xCloud January 2026 Release Notes: UI 2.0, Docker Compose & More",BOFU,Tomal,Tomal,Tasnia,xCloud January 2026 Release Notes,—,,652,,2026-Q1,https://xcloud.host/xcloud-january-2026-release-notes/,2026-02,2026,—,None found in top 100
49,2026-02-05,Thursday,"Managed VS Self Hosting OpenClaw in 2026: Cost, Security & Performance Compared (Expert Guide)",MOFU,M Asif Rahman,Tomal,Tasnia,Managed vs Self Hosting OpenClaw,—,,978,,2026-Q1,https://xcloud.host/managed-vs-self-hosting-openclaw/,2026-02,2026,—,None found in top 100
50,2026-02-04,Wednesday,7 Best OpenClaw(Clawdbot) Hosting Providers in 2026: From Self-Hosted to Fully Managed (Complete Guide),BOFU,M Asif Rahman,Tomal,Tasnia,Best OpenClaw Hosting Providers,—,,"5,184",,2026-Q1,https://xcloud.host/best-openclaw-hosting-providers/,2026-02,2026,—,hostinger clawdbot #10; vps for clawdbot #17 (210); openclaw vps #19 (480); open claw cloud #25
51,2026-02-01,Sunday,xCloud Turns 2: Celerating Amazing Years of Growth & Gratitude,BOFU,Tomal,Tomal,Tasnia,xCloud Turns 2,—,,645,,2026-Q1,https://xcloud.host/xcloud-turns-2-building-fast-growing-with-trust/,2026-02,2026,—,None found in top 100
52,2026-02-01,Sunday,"11 Best WP Engine Alternatives in 2026: Faster, Cheaper & WordPress.org-Friendly (Complete Guide)",BOFU,M Asif Rahman,Tomal,Tasnia,Best WP Engine Alternatives,NR,,"6,577",,2026-Q1,https://xcloud.host/best-wp-engine-alternatives/,2026-02,2026,30,None found in top 100
January 2026,,,,,,,,,,,,,,,,,,
53,2026-01-30,Friday,Revolution in Web Design: How AI Builds Websites in 2026,TOFU,Tomal,Tomal,Tasnia,AI Builds Websites,—,,935,,2026-Q1,https://xcloud.host/revolution-in-web-design-how-ai-builds-websites/,2026-01,2026,—,None found in top 100
54,2026-01-27,Tuesday,"Introducing xCloud UI 2.0: Built for Faster, Simpler Site & Server Management",BOFU,Tomal,Tomal,Tasnia,xCloud UI 2.0,—,,"1,294",,2026-Q1,https://xcloud.host/introducing-xcloud-ui-2-0/,2026-01,2026,—,None found in top 100
55,2026-01-26,Monday,7 Best RunCloud Alternatives in 2026: Manage WordPress Servers Affordably (Complete Guide),BOFU,M Asif Rahman,Tomal,Tasnia,Best RunCloud Alternatives,—,,"5,481",,2026-Q1,https://xcloud.host/best-runcloud-alternatives/,2026-01,2026,—,None found in top 100
56,2026-01-22,Thursday,7 Best Cloudways Alternatives & Competitors in 2026: Complete Expert Guide,BOFU,M Asif Rahman,Tomal,Tasnia,Best Cloudways Alternatives,—,,"5,808",,2026-Q1,https://xcloud.host/best-cloudways-alternatives/,2026-01,2026,—,None found in top 100
57,2026-01-18,Sunday,10 Best Managed Hosting For WordPress in 2026: Expert-Tested for Speed & Security (Complete Guide),BOFU,M Asif Rahman,Tomal,Tasnia,Best Managed Hosting For WordPress,NR,,"5,680",,2026-Q1,https://xcloud.host/best-managed-hosting-for-wordpress/,2026-01,2026,350,None found in top 100
58,2026-01-15,Thursday,7 Best n8n Hosting Providers in 2026: Complete Comparison Guide for Workflow Automation,BOFU,M Asif Rahman,Tomal,Tasnia,Best n8n Hosting Providers,13,,"5,824",,2026-Q1,https://xcloud.host/best-n8n-hosting-providers/,2026-01,2026,40,best n8n hosting #13
59,2026-01-14,Wednesday,7 Best Hosting for Lovable Apps in 2026 : Deploy Vibe-Coded Apps Faster (Tested & Benchmarked),BOFU,M Asif Rahman,Tomal,Tasnia,Best Hosting for Lovable Apps,—,,"5,566",,2026-Q1,https://xcloud.host/7-best-hosting-for-lovable-apps/,2026-01,2026,—,None found in top 100
60,2026-01-08,Thursday,What Is JavaScript? A Basic Introduction to JS for Beginners,TOFU,Fatin,Ahmed,Tasnia,What Is JavaScript,NR,,"1,166",,2026-Q1,https://xcloud.host/what-is-javascript-beginner-guide/,2026-01,2026,"16,380",None found in top 100
61,2026-01-06,Tuesday,"xCloud December 2025 Release Notes: Build With Templately AI, WireGuard & More",BOFU,Tomal,Tomal,Tasnia,xCloud December 2025 Release Notes,—,,760,,2026-Q1,https://xcloud.host/xcloud-december-2025-release-notes/,2026-01,2026,—,None found in top 100
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
MONTHLY SUMMARY — 2026,,,,,,,,,,,,,,,,,,
Month,Target Posts,Published,Variance,Emails Sent,Combined Search Vol. (4 mkt),Avg SEO Diff.,# Ranking (Top 100),Est. Organic Traffic/mo,,,,,,,,,,
Jan,8,#VALUE!,#VALUE!,#VALUE!,"16,770",0,1,#N/A,,,,,,,,,,
Feb,8,#VALUE!,#VALUE!,#VALUE!,"16,980",0,2,#N/A,,,,,,,,,,
Mar,8,#VALUE!,#VALUE!,#VALUE!,"72,040",0,0,#N/A,,,,,,,,,,
Apr,8,#VALUE!,#VALUE!,#VALUE!,"2,430",0,2,#N/A,,,,,,,,,,
May,8,#VALUE!,#VALUE!,#VALUE!,"7,670",0,0,#N/A,,,,,,,,,,
Jun,8,#VALUE!,#VALUE!,#VALUE!,30,0,0,#N/A,,,,,,,,,,
Jul,8,#VALUE!,#VALUE!,#VALUE!,0,0,0,#N/A,,,,,,,,,,
Aug,8,#VALUE!,#VALUE!,#VALUE!,0,0,0,#N/A,,,,,,,,,,
Sep,8,#VALUE!,#VALUE!,#VALUE!,0,0,0,#N/A,,,,,,,,,,
Oct,8,#VALUE!,#VALUE!,#VALUE!,0,0,0,#N/A,,,,,,,,,,
Nov,8,#VALUE!,#VALUE!,#VALUE!,0,0,0,#N/A,,,,,,,,,,
Dec,8,#VALUE!,#VALUE!,#VALUE!,0,0,0,#N/A,,,,,,,,,,
TOTAL,96,#VALUE!,#VALUE!,#VALUE!,"115,920",0,5,#N/A,,,,,,,,,,