   xCloud |  Email Report 2026 ,,,,,,,,,,,,,,,,,,,,
EMAIL DETAILS,,,,,,,PERFORMANCE,,,,,,OWNERSHIP,,,,,HELPERS,,
Month (auto),Email Title,Which List,Segmentation,Date,Type/Category,Audience (Sent To),Opens,Open Rate,Clicks,Click Rate,Unsubscribed,Unsub. Rate,Winning Subject Line,Author,Reviewer,Converter,Sent By,Pub Month (auto),Pub Year (auto),Quarter (auto)
,,,,,,,,,,,,,,,,,,,,
June 2026,,,,,,,,,,,,,,,,,,,,
June,xCloud May 2026 Release Notes | All Users,All Users,All,2026-06-01,News,"13,727","3,516",25.61%,101,0.74%,35,0.25%,"🥳 May ‘26 recap: Free Mailbox, 8 releases & 75+ improvements",Tomal,Ahmed,Tomal,Tasnia,2026-06,2026,2026-Q2
June,WCEU 2026,All Users,All,2026-06-03,News,"13,718","3,218",23.46%,41,0.30%,24,0.17%,🇵🇱 xCloud is heading to WordCamp Europe 2026 - let's meet in Kraków,Tomal,Ahmed,Tomal,Tasnia,2026-06,2026,2026-Q2
June,xCloud Web Terminal,All Users,All,2026-06-08,Feature,"12,518","3,212",25.66%,64,0.51%,21,0.17%,🔑 Introducing Web Terminal on xCloud: Secure Command-Line Access in a click away,Tomal,Ahmed,Tomal,Tasnia,2026-06,2026,2026-Q2
June,,All Users,,2026-06-01,Feature,,0,,0,,0,,,Tomal,Ahmed,,,2026-06,2026,2026-Q2
June,,All Users,,2026-06-01,Feature,,0,,0,,0,,,Tomal,Ahmed,,,2026-06,2026,2026-Q2
June,,All Users,,2026-06-01,Feature,,0,,0,,0,,,Tomal,Ahmed,,,2026-06,2026,2026-Q2
June,,All Users,,2026-06-01,Feature,,0,,0,,0,,,Tomal,Ahmed,,,2026-06,2026,2026-Q2
June,,All Users,,2026-06-01,Feature,,0,,0,,0,,,Tomal,Ahmed,,,2026-06,2026,2026-Q2
,,,,,,,,,,,,,,,,,,,,
May 2026,,,,,,,,,,,,,,,,,,,,
May,Client Reports | All Users,All Users,All,2026-05-26,Feature,"13,659","4,792",35.08%,228,1.67%,42,0.31%,"🥳 Introducing Client Reports: Branded WordPress Maintenance Reports, Free on xCloud",Tomal,Ahmed,Tomal,Tasnia,2026-05,2026,2026-Q2
May,Mailbox | Free Users,Free Users,All,2026-05-13,Feature,"7,744","1,628",21.02%,182,2.35%,25,0.32%,🥳 Free Business Mailbox Is Now Available On xCloud: Grab Now,Tomal,Ahmed,Tomal,Tasnia,2026-05,2026,2026-Q2
May,Mailbox | v2.5.6 | PRO Users + OpenClaw Users,Pro Users,All,2026-05-12,Feature,"3,241","1,510",46.59%,187,5.77%,16,0.49%,🥳 [Free] Business Mailbox Is Now Available On xCloud!,Tomal,Ahmed,Tomal,Tasnia,2026-05,2026,2026-Q2
May,xCloud Patched Copy Fail & Dirty Frag,All Users,All,2026-05-08,Updates,"12,255","4,210",34.35%,188,1.53%,37,0.30%,Security Update: Dirty Frag and Copy Fail Patched on Zero Day,Tomal,Shifat,Tomal,Tasnia,2026-05,2026,2026-Q2
May,xCloud April Release Notes 2026,All Users,All,2026-05-06,News,"12,271","3,975",32.39%,202,1.65%,42,0.34%,"xCloud April 2026 Recap: Hermes Agent, 10+ New features & more",Tomal,Ahmed,Tomal,Tasnia,2026-05,2026,2026-Q2
May,OpenClaw * GPT 5.5,All Users,All,2026-05-05,Updates,"12,285","4,442",36.16%,199,1.62%,25,0.20%,Now Live: GPT-5.5 on xCloud OpenClaw Hosting - No API costs if you have ChatGPT Plus or Pro.,Tomal,Shifat,Tomal,Tasnia,2026-05,2026,2026-Q2
May,Critical Linux Vulnerability,All Users,All,2026-05-01,Notice,"12,271","4,745",38.67%,237,1.93%,30,0.24%,🛡️ Copy Fail (CVE-2026-31431: what xCloud did and what to do next,Tomal,Shifat,Tomal,Tasnia,2026-05,2026,2026-Q2
,,,,,,,,,,,,,,,,,,,,
April 2026,,,,,,,,,,,,,,,,,,,,
April,Hermes Agent Hosting,All Users,All,2026-04-30,Feature,"12,289","4,224",34.37%,262,2.13%,46,0.37%,🔥 Hermes Agent Hosting is LIVE on xCloud,Tomal,Ahmed,Tomal,Tasnia,2026-04,2026,2026-Q2
April,Paperclip Hosting,All Users,All,2026-04-27,Feature,"12,289","4,533",36.89%,269,2.19%,54,0.44%,🔥 Paperclip Hosting is LIVE on xCloud,Tomal,Ahmed,Tomal,Tasnia,2026-04,2026,2026-Q2
April,Site Rules,All Users,All,2026-04-06,Feature,"12,052","4,388",36.41%,245,2.03%,69,0.57%,🔥 New: Manage HTTP headers & redirects with Site Rules,Tomal,Ahmed,Tomal,Tasnia,2026-04,2026,2026-Q2
April,xCloud March 2026 Release Notes,All Users,All,2026-04-02,News,"12,028","4,378",36.40%,220,1.83%,44,0.37%,"We built a lot in March: 10+ features, 50+ improvements & bug fixes",Tomal,Ahmed,Tomal,Tasnia,2026-04,2026,2026-Q2
,,,,,,,,,,,,,,,,,,,,
March 2026,,,,,,,,,,,,,,,,,,,,
March,Site Insights + Mail Delivery,All Users,All,2026-03-23,Feature,"11,883","4,369",36.77%,96,0.81%,42,0.35%,🔥Two Big Updates Are Here: Site Insights + Auto Upgrade Mail Delivery,Tomal,Ahmed,Tomal,Tasnia,2026-03,2026,2026-Q1
March,CloudFest 2026,All Users,All,2026-03-18,News,"11,805","3,534",29.94%,37,0.31%,47,0.40%,We’re at CloudFest 2026 – Meet Our Founder in Person 👋,Tomal,Ahmed,Tomal,Tasnia,2026-03,2026,2026-Q1
March,xCloud February 2026 Release Notes,All Users,All,2026-03-05,News,"11,586","4,395",37.93%,282,2.43%,66,0.57%,"February Was Massive: OpenClaw, WP Debug Viewer & 15+ Enhancements",Tomal,Ahmed,Tomal,Tasnia,2026-03,2026,2026-Q1
,,,,,,,,,,,,,,,,,,,,
February 2026,,,,,,,,,,,,,,,,,,,,
February,OpenClaw User Onboarding - 01,OpenClaw Users,,2026-02-19,Guide,211,108,51.18%,8,3.79%,2,0.95%,Not sure where to start with your AI agent? Start here.,Tomal,M Asif Rahman,Tomal,Tasnia,2026-02,2026,2026-Q1
February,OpenClaw User Onboarding - 02,OpenClaw Users,,2026-02-20,Guide,112,37,33.04%,1,0.89%,0,0.00%,Quick check-in — is your agent working for you?,Tomal,M Asif Rahman,Tomal,Tasnia,2026-02,2026,2026-Q1
February,Custom Docker,All Users,All,2026-02-12,Feature,"10,953","3,900",35.61%,126,1.15%,69,0.63%,🔥 Ship multi-container apps with Custom Docker on xCloud - no manual setup required,Tomal,Ahmed,Tomal,Tasnia,2026-02,2026,2026-Q1
February,xCloud January 2026 Release Note,All Users,All,2026-02-07,News,"10,392","3,591",34.56%,113,1.09%,37,0.36%,xCloud January’26 Recap: Start 2026 Strong with UI 2.0 & More,Tomal,Ahmed,Tomal,Tasnia,2026-02,2026,2026-Q1
February,OpenClaw Hosting | v2.3.2,All Users,All,2026-02-04,News,"10,410","3,222",30.95%,145,1.39%,23,0.22%,OpenClaw Hosting (Beta) is Live on xCloud - Try Now,Tomal,Ahmed,Tomal,Tasnia,2026-02,2026,2026-Q1
,,,,,,,,,,,,,,,,,,,,
January 2026,,,,,,,,,,,,,,,,,,,,
January,xCloud New UI 2.0 | v2.3.0,All Users,All,2026-01-29,News,"10,440","4,010",38.41%,321,3.07%,32,0.31%,🔥Introducing xCloud UI 2.0: Experience smart dashboard now,Tomal,Ahmed,Tomal,Tasnia,2026-01,2026,2026-Q1
January,xCloud December 2025 Release Note,All Users,All,2026-01-05,News,"10,061","3,496",34.75%,56,0.56%,47,0.47%,,Tomal,Ahmed,Tomal,Tasnia,2026-01,2026,2026-Q1