xCloud — GA4 Traffic Acquisition by Channel  |  Jan 2025 – May 2026,,,,,,,,,,,,,,
Month,Channel,Sessions,Sessions %,Engaged sessions,Engaged %,Engagement rate,Avg time/session,Events/session,Event count,Event count %,Key events,Key events %,Session key event rate,Total revenue
Jan 2025,TOTAL,"11,032",,"5,058",,45.85%,47s,4.71,"51,959",,0.00,,0.00%,$0.00
Jan 2025,Organic Search,"5,730",51.94%,"2,837",56.09%,49.51%,52s,4.79,"27,453",52.84%,0.00,,0.00%,$0.00
Jan 2025,Direct,"3,491",31.64%,"1,415",27.98%,40.53%,38s,4.39,"15,334",29.51%,0.00,,0.00%,$0.00
Jan 2025,Referral,"1,393",12.63%,578,11.43%,41.49%,37s,4.37,"6,082",11.71%,0.00,,0.00%,$0.00
Jan 2025,Organic Social,398,3.61%,183,3.62%,45.98%,32s,4.24,"1,686",3.24%,0.00,,0.00%,$0.00
Jan 2025,Organic Video,158,1.43%,70,1.38%,44.30%,58s,4.99,789,1.52%,0.00,,0.00%,$0.00
Jan 2025,Email,76,0.69%,50,0.99%,65.79%,1m 07s,5.51,419,0.81%,0.00,,0.00%,$0.00
Jan 2025,Unassigned,57,0.52%,1,0.02%,1.75%,1m 35s,3.44,196,0.38%,0.00,,0.00%,$0.00
Feb 2025,TOTAL,"10,876",,"4,914",,45.18%,46s,4.61,"50,091",,0.00,,0.00%,$0.00
Feb 2025,Organic Search,"5,656",52.00%,"2,766",56.29%,48.90%,54s,4.79,"27,072",54.05%,0.00,,0.00%,$0.00
Feb 2025,Direct,"3,560",32.73%,"1,334",27.15%,37.47%,32s,4.20,"14,941",29.83%,0.00,,0.00%,$0.00
Feb 2025,Referral,"1,106",10.17%,498,10.13%,45.03%,44s,4.52,"4,997",9.98%,0.00,,0.00%,$0.00
Feb 2025,Organic Social,430,3.95%,198,4.03%,46.05%,40s,4.47,"1,923",3.84%,0.00,,0.00%,$0.00
Feb 2025,Organic Video,155,1.43%,77,1.57%,49.68%,49s,5.06,784,1.57%,0.00,,0.00%,$0.00
Feb 2025,Unassigned,58,0.53%,2,0.04%,3.45%,1m 24s,3.53,205,0.41%,0.00,,0.00%,$0.00
Feb 2025,Email,28,0.26%,21,0.43%,75.00%,43s,5.61,157,0.31%,0.00,,0.00%,$0.00
Feb 2025,Paid Search,4,0.04%,0,0.00%,0.00%,0s,3.00,12,0.02%,0.00,,0.00%,$0.00
Mar 2025,TOTAL,"13,095",,"6,310",,48.19%,47s,4.69,"61,471",,0.00,,0.00%,$0.00
Mar 2025,Organic Search,"6,891",52.62%,"3,566",56.51%,51.75%,53s,4.86,"33,491",54.48%,0.00,,0.00%,$0.00
Mar 2025,Direct,"4,561",34.83%,"1,900",30.11%,41.66%,36s,4.23,"19,306",31.41%,0.00,,0.00%,$0.00
Mar 2025,Referral,"1,036",7.91%,494,7.83%,47.68%,48s,4.54,"4,707",7.66%,0.00,,0.00%,$0.00
Mar 2025,Organic Social,608,4.64%,286,4.53%,47.04%,30s,4.35,"2,643",4.30%,0.00,,0.00%,$0.00
Mar 2025,Organic Video,152,1.16%,72,1.14%,47.37%,1m 09s,6.10,927,1.51%,0.00,,0.00%,$0.00
Mar 2025,Unassigned,70,0.53%,7,0.11%,10.00%,1m 16s,3.61,253,0.41%,0.00,,0.00%,$0.00
Mar 2025,Email,34,0.26%,16,0.25%,47.06%,16s,3.62,123,0.20%,0.00,,0.00%,$0.00
Mar 2025,Paid Search,7,0.05%,0,0.00%,0.00%,0s,3.00,21,0.03%,0.00,,0.00%,$0.00
Apr 2025,TOTAL,"12,461",,"5,540",,44.46%,41s,4.33,"54,017",,0.00,,0.00%,$0.00
Apr 2025,Organic Search,"6,448",51.75%,"3,153",56.91%,48.90%,46s,4.45,"28,681",53.10%,0.00,,0.00%,$0.00
Apr 2025,Direct,"4,367",35.05%,"1,574",28.41%,36.04%,28s,4.10,"17,911",33.16%,0.00,,0.00%,$0.00
Apr 2025,Referral,777,6.24%,390,7.04%,50.19%,56s,4.82,"3,749",6.94%,0.00,,0.00%,$0.00
Apr 2025,Organic Social,566,4.54%,286,5.16%,50.53%,41s,4.35,"2,462",4.56%,0.00,,0.00%,$0.00
Apr 2025,Organic Video,166,1.33%,85,1.53%,51.20%,2m 10s,5.39,894,1.66%,0.00,,0.00%,$0.00
Apr 2025,Unassigned,68,0.55%,2,0.04%,2.94%,57s,3.32,226,0.42%,0.00,,0.00%,$0.00
Apr 2025,Email,14,0.11%,7,0.13%,50.00%,1m 41s,6.71,94,0.17%,0.00,,0.00%,$0.00
May 2025,TOTAL,"15,195",,"6,734",,44.32%,46s,4.50,"68,439",,0.00,,0.00%,$0.00
May 2025,Organic Search,"7,156",47.09%,"3,487",51.78%,48.73%,50s,4.59,"32,835",47.98%,0.00,,0.00%,$0.00
May 2025,Direct,"5,932",39.04%,"2,297",34.11%,38.72%,39s,4.26,"25,299",36.97%,0.00,,0.00%,$0.00
May 2025,Referral,"1,036",6.82%,502,7.45%,48.46%,50s,4.60,"4,768",6.97%,0.00,,0.00%,$0.00
May 2025,Organic Social,957,6.30%,437,6.49%,45.66%,33s,4.23,"4,050",5.92%,0.00,,0.00%,$0.00
May 2025,Organic Video,247,1.63%,103,1.53%,41.70%,34s,4.16,"1,028",1.50%,0.00,,0.00%,$0.00
May 2025,Unassigned,61,0.40%,5,0.07%,8.20%,2m 33s,5.36,327,0.48%,0.00,,0.00%,$0.00
May 2025,Email,19,0.13%,11,0.16%,57.89%,1m 05s,5.37,102,0.15%,0.00,,0.00%,$0.00
May 2025,Organic Shopping,8,0.05%,2,0.03%,25.00%,1m 55s,3.75,30,0.04%,0.00,,0.00%,$0.00
Jun 2025,TOTAL,"17,416",,"8,036",,46.14%,48s,4.49,"78,249",,0.00,,0.00%,$0.00
Jun 2025,Organic Search,"8,571",49.21%,"4,153",51.68%,48.45%,51s,4.55,"39,039",49.89%,0.00,,0.00%,$0.00
Jun 2025,Direct,"5,662",32.51%,"2,293",28.53%,40.50%,40s,4.36,"24,686",31.55%,0.00,,0.00%,$0.00
Jun 2025,Referral,"1,248",7.17%,614,7.64%,49.20%,55s,4.76,"5,936",7.59%,0.00,,0.00%,$0.00
Jun 2025,Organic Social,906,5.20%,397,4.94%,43.82%,20s,4.05,"3,673",4.69%,0.00,,0.00%,$0.00
Jun 2025,Unassigned,439,2.52%,238,2.96%,54.21%,1m 47s,5.10,"2,240",2.86%,0.00,,0.00%,$0.00
Jun 2025,Organic Video,438,2.51%,252,3.14%,57.53%,1m 05s,5.56,"2,435",3.11%,0.00,,0.00%,$0.00
Jun 2025,Email,18,0.10%,14,0.17%,77.78%,3m 16s,8.61,155,0.20%,0.00,,0.00%,$0.00
Jun 2025,Organic Shopping,16,0.09%,6,0.07%,37.50%,12s,3.25,52,0.07%,0.00,,0.00%,$0.00
Jun 2025,Paid Search,11,0.06%,0,0.00%,0.00%,0s,3.00,33,0.04%,0.00,,0.00%,$0.00
Jul 2025,TOTAL,"15,131",,"6,523",,43.11%,41s,4.33,"65,562",,0.00,,0.00%,$0.00
Jul 2025,Organic Search,"7,582",50.11%,"3,493",53.55%,46.07%,47s,4.54,"34,438",52.53%,0.00,,0.00%,$0.00
Jul 2025,Direct,"5,118",33.82%,"2,009",30.80%,39.25%,32s,4.11,"21,034",32.08%,0.00,,0.00%,$0.00
Jul 2025,Referral,"1,057",6.99%,511,7.83%,48.34%,45s,4.65,"4,912",7.49%,0.00,,0.00%,$0.00
Jul 2025,Organic Social,828,5.47%,379,5.81%,45.77%,33s,3.97,"3,291",5.02%,0.00,,0.00%,$0.00
Jul 2025,Organic Video,205,1.35%,106,1.63%,51.71%,1m 10s,5.36,"1,098",1.67%,0.00,,0.00%,$0.00
Jul 2025,Unassigned,143,0.95%,57,0.87%,39.86%,54s,4.93,705,1.08%,0.00,,0.00%,$0.00
Jul 2025,Email,8,0.05%,5,0.08%,62.50%,3m 10s,7.50,60,0.09%,0.00,,0.00%,$0.00
Jul 2025,Organic Shopping,4,0.03%,1,0.02%,25.00%,11s,3.00,12,0.02%,0.00,,0.00%,$0.00
Jul 2025,Paid Search,4,0.03%,0,0.00%,0.00%,0s,3.00,12,0.02%,0.00,,0.00%,$0.00
Aug 2025,TOTAL,"14,158",,"6,281",,44.36%,41s,4.35,"61,649",,0.00,,0.00%,$0.00
Aug 2025,Organic Search,"6,953",49.11%,"3,293",52.43%,47.36%,48s,4.51,"31,365",50.88%,0.00,,0.00%,$0.00
Aug 2025,Direct,"4,710",33.27%,"1,932",30.76%,41.02%,34s,4.22,"19,878",32.24%,0.00,,0.00%,$0.00
Aug 2025,Referral,"1,025",7.24%,493,7.85%,48.10%,42s,4.71,"4,823",7.82%,0.00,,0.00%,$0.00
Aug 2025,Organic Social,660,4.66%,275,4.38%,41.67%,22s,3.87,"2,551",4.14%,0.00,,0.00%,$0.00
Aug 2025,Email,375,2.65%,156,2.48%,41.60%,30s,4.37,"1,639",2.66%,0.00,,0.00%,$0.00
Aug 2025,Organic Video,138,0.97%,74,1.18%,53.62%,1m 11s,5.43,750,1.22%,0.00,,0.00%,$0.00
Aug 2025,Unassigned,115,0.81%,49,0.78%,42.61%,1m 06s,5.51,634,1.03%,0.00,,0.00%,$0.00
Aug 2025,Paid Search,2,0.01%,0,0.00%,0.00%,0s,3.00,6,0.01%,0.00,,0.00%,$0.00
Aug 2025,Organic Shopping,1,0.01%,1,0.02%,100.00%,21s,3.00,3,0.00%,0.00,,0.00%,$0.00
Sep 2025,TOTAL,"16,952",,"7,848",,46.30%,40s,5.27,"89,303",,0.00,,0.00%,$0.00
Sep 2025,Organic Search,"8,992",53.04%,"4,358",55.53%,48.47%,47s,5.45,"49,050",54.93%,0.00,,0.00%,$0.00
Sep 2025,Direct,"5,129",30.26%,"2,134",27.19%,41.61%,30s,5.03,"25,784",28.87%,0.00,,0.00%,$0.00
Sep 2025,Referral,"1,065",6.28%,578,7.36%,54.27%,51s,6.15,"6,548",7.33%,0.00,,0.00%,$0.00
Sep 2025,Organic Social,602,3.55%,266,3.39%,44.19%,22s,4.65,"2,798",3.13%,0.00,,0.00%,$0.00
Sep 2025,Email,423,2.50%,128,1.63%,30.26%,23s,3.98,"1,685",1.89%,0.00,,0.00%,$0.00
Sep 2025,Unassigned,317,1.87%,167,2.13%,52.68%,36s,5.67,"1,798",2.01%,0.00,,0.00%,$0.00
Sep 2025,Mobile Push Notifications,123,0.73%,92,1.17%,74.80%,39s,6.93,853,0.96%,0.00,,0.00%,$0.00
Sep 2025,Organic Video,113,0.67%,58,0.74%,51.33%,1m 02s,6.79,767,0.86%,0.00,,0.00%,$0.00
Sep 2025,Organic Shopping,5,0.03%,1,0.01%,20.00%,32s,4.00,20,0.02%,0.00,,0.00%,$0.00
Oct 2025,TOTAL,"18,905",,"9,188",,48.60%,44s,8.84,"167,198",,0.00,,0.00%,$0.00
Oct 2025,Organic Search,"8,253",43.66%,"4,037",43.94%,48.92%,45s,8.81,"72,712",43.49%,0.00,,0.00%,$0.00
Oct 2025,Direct,"5,629",29.78%,"2,311",25.15%,41.06%,37s,8.60,"48,415",28.96%,0.00,,0.00%,$0.00
Oct 2025,Paid Search,"2,992",15.83%,"1,665",18.12%,55.65%,59s,8.20,"24,539",14.68%,0.00,,0.00%,$0.00
Oct 2025,Referral,"1,191",6.30%,630,6.86%,52.90%,40s,9.10,"10,834",6.48%,0.00,,0.00%,$0.00
Oct 2025,Organic Social,588,3.11%,260,2.83%,44.22%,21s,7.83,"4,605",2.75%,0.00,,0.00%,$0.00
Oct 2025,Unassigned,249,1.32%,117,1.27%,46.99%,37s,9.06,"2,256",1.35%,0.00,,0.00%,$0.00
Oct 2025,Mobile Push Notifications,194,1.03%,134,1.46%,69.07%,27s,10.50,"2,037",1.22%,0.00,,0.00%,$0.00
Oct 2025,Organic Video,117,0.62%,69,0.75%,58.97%,30s,10.57,"1,237",0.74%,0.00,,0.00%,$0.00
Oct 2025,Email,32,0.17%,13,0.14%,40.63%,37s,8.31,266,0.16%,0.00,,0.00%,$0.00
Oct 2025,Cross-network,22,0.12%,19,0.21%,86.36%,36s,12.32,271,0.16%,0.00,,0.00%,$0.00
Nov 2025,TOTAL,"38,118",,"19,938",,52.31%,1m 13s,10.17,"387,497",,39.00,,0.08%,$0.00
Nov 2025,Organic Search,"12,584",33.01%,"7,397",37.10%,58.78%,1m 27s,10.56,"132,865",34.29%,21.00,53.85%,0.10%,$0.00
Nov 2025,Direct,"12,472",32.72%,"6,250",31.35%,50.11%,1m 17s,10.38,"129,448",33.41%,4.00,10.26%,0.02%,$0.00
Nov 2025,Organic Social,"3,109",8.16%,"1,491",7.48%,47.96%,46s,8.94,"27,794",7.17%,2.00,5.13%,0.06%,$0.00
Nov 2025,Unassigned,"2,468",6.47%,868,4.35%,35.17%,50s,8.56,"21,127",5.45%,3.00,7.69%,0.12%,$0.00
Nov 2025,Referral,"2,166",5.68%,"1,364",6.84%,62.97%,1m 25s,12.22,"26,463",6.83%,1.00,2.56%,0.05%,$0.00
Nov 2025,Mobile Push Notifications,"1,864",4.89%,765,3.84%,41.04%,25s,8.60,"16,039",4.14%,4.00,10.26%,0.16%,$0.00
Nov 2025,Display,"1,360",3.57%,486,2.44%,35.74%,11s,7.14,"9,705",2.50%,0.00,0.00%,0.00%,$0.00
Nov 2025,Paid Search,773,2.03%,451,2.26%,58.34%,59s,10.78,"8,332",2.15%,1.00,2.56%,0.13%,$0.00
Nov 2025,Cross-network,449,1.18%,251,1.26%,55.90%,1m 56s,12.50,"5,612",1.45%,3.00,7.69%,0.67%,$0.00
Nov 2025,Organic Video,345,0.91%,227,1.14%,65.80%,1m 37s,12.50,"4,314",1.11%,0.00,0.00%,0.00%,$0.00
Dec 2025,TOTAL,"84,003",,"51,490",,61.30%,2m 00s,10.79,"906,741",,215.00,,0.22%,$0.00
Dec 2025,Direct,"34,676",41.28%,"21,406",41.57%,61.73%,1m 53s,9.87,"342,357",37.76%,78.00,36.28%,0.21%,$0.00
Dec 2025,Organic Search,"23,384",27.84%,"15,057",29.24%,64.39%,2m 17s,11.40,"266,622",29.40%,87.00,40.47%,0.32%,$0.00
Dec 2025,Referral,"6,262",7.45%,"4,335",8.42%,69.23%,2m 34s,13.64,"85,436",9.42%,14.00,6.51%,0.10%,$0.00
Dec 2025,Unassigned,"4,444",5.29%,"1,319",2.56%,29.68%,1m 14s,9.23,"41,010",4.52%,10.00,4.65%,0.23%,$0.00
Dec 2025,Organic Social,"4,298",5.12%,"2,670",5.19%,62.12%,1m 40s,9.91,"42,610",4.70%,1.00,0.47%,0.02%,$0.00
Dec 2025,Cross-network,"3,655",4.35%,"2,044",3.97%,55.92%,59s,9.30,"33,991",3.75%,2.00,0.93%,0.05%,$0.00
Dec 2025,Organic Shopping,"3,591",4.27%,"2,599",5.05%,72.38%,3m 42s,13.44,"48,246",5.32%,0.00,0.00%,0.00%,$0.00
Dec 2025,Mobile Push Notifications,"1,944",2.31%,772,1.50%,39.71%,25s,7.86,"15,274",1.68%,9.00,4.19%,0.46%,$0.00
Dec 2025,Display,"1,597",1.90%,608,1.18%,38.07%,15s,7.31,"11,677",1.29%,2.00,0.93%,0.13%,$0.00
Dec 2025,Paid Social,"1,077",1.28%,786,1.53%,72.98%,1s,4.89,"5,263",0.58%,0.00,0.00%,0.00%,$0.00
Jan 2026,TOTAL,"87,994",,"50,249",,57.11%,1m 37s,9.65,"849,267",,238.00,,0.20%,$0.00
Jan 2026,Organic Search,"34,585",39.30%,"19,164",38.14%,55.41%,1m 33s,9.47,"327,531",38.57%,64.00,26.89%,0.15%,$0.00
Jan 2026,Direct,"31,357",35.64%,"17,733",35.29%,56.55%,1m 29s,9.06,"284,157",33.46%,124.00,52.10%,0.28%,$0.00
Jan 2026,Referral,"7,792",8.86%,"5,205",10.36%,66.80%,2m 15s,12.07,"94,037",11.07%,17.00,7.14%,0.15%,$0.00
Jan 2026,Display,"3,986",4.53%,"1,949",3.88%,48.90%,14s,7.25,"28,898",3.40%,6.00,2.52%,0.13%,$0.00
Jan 2026,Organic Shopping,"3,769",4.28%,"2,492",4.96%,66.12%,2m 46s,11.14,"41,988",4.94%,4.00,1.68%,0.05%,$0.00
Jan 2026,Organic Social,"2,462",2.80%,"1,743",3.47%,70.80%,1m 53s,10.07,"24,785",2.92%,2.00,0.84%,0.08%,$0.00
Jan 2026,Paid Search,"1,983",2.25%,"1,304",2.60%,65.76%,1m 33s,10.68,"21,187",2.49%,9.00,3.78%,0.45%,$0.00
Jan 2026,Unassigned,"1,818",2.07%,410,0.82%,22.55%,2m 39s,10.42,"18,952",2.23%,5.00,2.10%,0.28%,$0.00
Jan 2026,Mobile Push Notifications,347,0.39%,158,0.31%,45.53%,23s,7.51,"2,607",0.31%,4.00,1.68%,0.86%,$0.00
Jan 2026,Organic Video,256,0.29%,157,0.31%,61.33%,1m 37s,10.08,"2,580",0.30%,2.00,0.84%,0.39%,$0.00
Feb 2026,TOTAL,"86,685",,"51,694",,59.63%,1m 59s,9.40,"815,250",,942.00,,0.88%,$0.00
Feb 2026,Organic Search,"28,492",32.87%,"18,490",35.77%,64.90%,2m 08s,9.83,"280,028",34.35%,242.00,25.69%,0.73%,$0.00
Feb 2026,Direct,"28,053",32.36%,"16,172",31.28%,57.65%,1m 51s,8.52,"238,887",29.30%,269.00,28.56%,0.65%,$0.00
Feb 2026,Referral,"8,790",10.14%,"5,768",11.16%,65.62%,2m 19s,11.87,"104,296",12.79%,30.00,3.18%,0.31%,$0.00
Feb 2026,Unassigned,"6,543",7.55%,"2,246",4.34%,34.33%,40s,6.01,"39,335",4.82%,181.00,19.21%,2.35%,$0.00
Feb 2026,Paid Search,"5,794",6.68%,"3,342",6.46%,57.68%,1m 20s,7.85,"45,458",5.58%,146.00,15.50%,2.14%,$0.00
Feb 2026,Organic Shopping,"5,661",6.53%,"3,845",7.44%,67.92%,3m 49s,11.70,"66,230",8.12%,2.00,0.21%,0.04%,$0.00
Feb 2026,Display,"2,391",2.76%,"1,265",2.45%,52.91%,15s,5.77,"13,799",1.69%,32.00,3.40%,1.17%,$0.00
Feb 2026,Organic Social,"2,360",2.72%,"1,559",3.02%,66.06%,1m 21s,8.19,"19,331",2.37%,14.00,1.49%,0.51%,$0.00
Feb 2026,Email,507,0.58%,315,0.61%,62.13%,1m 42s,7.98,"4,044",0.50%,16.00,1.70%,2.56%,$0.00
Feb 2026,Cross-network,154,0.18%,116,0.22%,75.32%,36s,8.10,"1,248",0.15%,1.00,0.11%,0.65%,$0.00
Mar 2026,TOTAL,"88,571",,"53,947",,60.91%,1m 59s,9.16,"811,578",,0.00,,0.00%,$0.00
Mar 2026,Direct,"32,849",37.09%,"20,039",37.15%,61.00%,2m 00s,8.68,"285,162",35.14%,0.00,,0.00%,$0.00
Mar 2026,Organic Search,"27,641",31.21%,"18,111",33.57%,65.52%,2m 16s,9.79,"270,614",33.34%,0.00,,0.00%,$0.00
Mar 2026,Referral,"9,958",11.24%,"6,445",11.95%,64.72%,2m 00s,10.52,"104,719",12.90%,0.00,,0.00%,$0.00
Mar 2026,Organic Shopping,"5,317",6.00%,"3,599",6.67%,67.69%,2m 34s,10.91,"57,998",7.15%,0.00,,0.00%,$0.00
Mar 2026,Paid Search,"4,161",4.70%,"2,460",4.56%,59.12%,1m 51s,8.97,"37,323",4.60%,0.00,,0.00%,$0.00
Mar 2026,Unassigned,"3,792",4.28%,958,1.78%,25.26%,45s,6.24,"23,659",2.92%,0.00,,0.00%,$0.00
Mar 2026,Display,"2,193",2.48%,609,1.13%,27.77%,3s,4.49,"9,846",1.21%,0.00,,0.00%,$0.00
Mar 2026,Organic Social,"2,086",2.36%,"1,437",2.66%,68.89%,1m 30s,8.73,"18,216",2.24%,0.00,,0.00%,$0.00
Mar 2026,Organic Video,256,0.29%,161,0.30%,62.89%,2m 15s,8.81,"2,255",0.28%,0.00,,0.00%,$0.00
Mar 2026,Email,214,0.24%,99,0.18%,46.26%,50s,6.15,"1,316",0.16%,0.00,,0.00%,$0.00
Apr 2026,TOTAL,"33,931",,"13,413",,39.53%,38s,4.88,"165,642",,2.00,,0.01%,$0.00
Apr 2026,Organic Search,"13,352",39.35%,"6,056",45.15%,45.36%,44s,4.57,"61,033",36.85%,0.00,0.00%,0.00%,$0.00
Apr 2026,Direct,"11,216",33.06%,"4,052",30.21%,36.13%,34s,5.35,"59,979",36.21%,2.00,100.00%,0.01%,$0.00
Apr 2026,Referral,"2,839",8.37%,"1,246",9.29%,43.89%,42s,5.06,"14,365",8.67%,0.00,0.00%,0.00%,$0.00
Apr 2026,Unassigned,"2,492",7.34%,498,3.71%,19.98%,19s,3.73,"9,303",5.62%,0.00,0.00%,0.00%,$0.00
Apr 2026,Paid Search,"1,499",4.42%,588,4.38%,39.23%,31s,4.32,"6,473",3.91%,0.00,0.00%,0.00%,$0.00
Apr 2026,Organic Social,"1,144",3.37%,479,3.57%,41.87%,30s,4.41,"5,047",3.05%,0.00,0.00%,0.00%,$0.00
Apr 2026,Organic Shopping,703,2.07%,340,2.53%,48.36%,1m 35s,8.47,"5,955",3.60%,0.00,0.00%,0.00%,$0.00
Apr 2026,Display,657,1.94%,139,1.04%,21.16%,5s,3.47,"2,280",1.38%,0.00,0.00%,0.00%,$0.00
Apr 2026,Organic Video,153,0.45%,71,0.53%,46.41%,47s,4.76,729,0.44%,0.00,0.00%,0.00%,$0.00
Apr 2026,Cross-network,34,0.10%,11,0.08%,32.35%,7s,3.50,119,0.07%,0.00,0.00%,0.00%,$0.00
May 2026,TOTAL,"28,494",,"11,000",,38.60%,28s,4.33,"123,281",,2.00,,0.01%,$0.00
May 2026,Organic Search,"11,427",40.10%,"5,131",46.65%,44.90%,38s,4.15,"47,463",38.50%,0.00,0.00%,0.00%,$0.00
May 2026,Direct,"10,210",35.83%,"3,044",27.67%,29.81%,16s,4.54,"46,348",37.60%,2.00,100.00%,0.02%,$0.00
May 2026,Paid Search,"2,317",8.13%,885,8.05%,38.20%,30s,4.20,"9,722",7.89%,0.00,0.00%,0.00%,$0.00
May 2026,Referral,"2,036",7.15%,793,7.21%,38.95%,29s,4.10,"8,343",6.77%,0.00,0.00%,0.00%,$0.00
May 2026,Unassigned,"1,409",4.94%,300,2.73%,21.29%,13s,3.41,"4,805",3.90%,0.00,0.00%,0.00%,$0.00
May 2026,Organic Social,"1,366",4.79%,564,5.13%,41.29%,31s,4.08,"5,576",4.52%,0.00,0.00%,0.00%,$0.00
May 2026,Organic Video,129,0.45%,56,0.51%,43.41%,40s,3.88,500,0.41%,0.00,0.00%,0.00%,$0.00
May 2026,Organic Shopping,92,0.32%,34,0.31%,36.96%,24s,3.53,325,0.26%,0.00,0.00%,0.00%,$0.00
May 2026,Cross-network,38,0.13%,13,0.12%,34.21%,8s,3.39,129,0.10%,0.00,0.00%,0.00%,$0.00
May 2026,Paid Social,10,0.04%,3,0.03%,30.00%,8s,3.20,32,0.03%,0.00,0.00%,0.00%,$0.00
Apr 2026,TOTAL,,,,,,,,,,,,,
,Organic Search,,,,,,,,,,,,,
,Direct,,,,,,,,,,,,,
,Referral,,,,,,,,,,,,,
,Unassigned,,,,,,,,,,,,,
,Paid Search,,,,,,,,,,,,,
,Organic Social,,,,,,,,,,,,,
,Organic Shopping,,,,,,,,,,,,,
,Display,,,,,,,,,,,,,
,Organic Video,,,,,,,,,,,,,
,Cross-network,,,,,,,,,,,,,
May 2026,TOTAL,,,,,,,,,,,,,
,Organic Search,,,,,,,,,,,,,
,Direct,,,,,,,,,,,,,
,Paid Search,,,,,,,,,,,,,
,Referral,,,,,,,,,,,,,
,Unassigned,,,,,,,,,,,,,
,Organic Social,,,,,,,,,,,,,
,Organic Video,,,,,,,,,,,,,
,Organic Shopping,,,,,,,,,,,,,
,Cross-network,,,,,,,,,,,,,
,Paid Social,,,,,,,,,,,,,
Apr 2026,TOTAL,,,,,,,,,,,,,
,Organic Search,,,,,,,,,,,,,
,Direct,,,,,,,,,,,,,
,Referral,,,,,,,,,,,,,
,Unassigned,,,,,,,,,,,,,
,Paid Search,,,,,,,,,,,,,
,Organic Social,,,,,,,,,,,,,
,Organic Shopping,,,,,,,,,,,,,
,Display,,,,,,,,,,,,,
,Organic Video,,,,,,,,,,,,,
,Cross-network,,,,,,,,,,,,,
May 2026,TOTAL,,,,,,,,,,,,,
,Organic Search,,,,,,,,,,,,,
,Direct,,,,,,,,,,,,,
,Paid Search,,,,,,,,,,,,,
,Referral,,,,,,,,,,,,,
,Unassigned,,,,,,,,,,,,,
,Organic Social,,,,,,,,,,,,,
,Organic Video,,,,,,,,,,,,,
,Organic Shopping,,,,,,,,,,,,,
,Cross-network,,,,,,,,,,,,,
,Paid Social,,,,,,,,,,,,,
Apr 2026,TOTAL,,,,,,,,,,,,,
,Organic Search,,,,,,,,,,,,,
,Direct,,,,,,,,,,,,,
,Referral,,,,,,,,,,,,,
,Unassigned,,,,,,,,,,,,,
,Paid Search,,,,,,,,,,,,,
,Organic Social,,,,,,,,,,,,,
,Organic Shopping,,,,,,,,,,,,,
,Display,,,,,,,,,,,,,
,Organic Video,,,,,,,,,,,,,
,Cross-network,,,,,,,,,,,,,
May 2026,TOTAL,,,,,,,,,,,,,
,Organic Search,,,,,,,,,,,,,
,Direct,,,,,,,,,,,,,
,Paid Search,,,,,,,,,,,,,
,Referral,,,,,,,,,,,,,
,Unassigned,,,,,,,,,,,,,
,Organic Social,,,,,,,,,,,,,
,Organic Video,,,,,,,,,,,,,
,Organic Shopping,,,,,,,,,,,,,
,Cross-network,,,,,,,,,,,,,
,Paid Social,,,,,,,,,,,,,
Apr 2026,TOTAL,,,,,,,,,,,,,
,Organic Search,,,,,,,,,,,,,
,Direct,,,,,,,,,,,,,
,Referral,,,,,,,,,,,,,
,Unassigned,,,,,,,,,,,,,
,Paid Search,,,,,,,,,,,,,
,Organic Social,,,,,,,,,,,,,
,Organic Shopping,,,,,,,,,,,,,
,Display,,,,,,,,,,,,,
,Organic Video,,,,,,,,,,,,,
,Cross-network,,,,,,,,,,,,,
May 2026,TOTAL,,,,,,,,,,,,,
,Organic Search,,,,,,,,,,,,,
,Direct,,,,,,,,,,,,,
,Paid Search,,,,,,,,,,,,,
,Referral,,,,,,,,,,,,,
,Unassigned,,,,,,,,,,,,,
,Organic Social,,,,,,,,,,,,,
,Organic Video,,,,,,,,,,,,,
,Organic Shopping,,,,,,,,,,,,,
,Cross-network,,,,,,,,,,,,,
,Paid Social,,,,,,,,,,,,,
Apr 2026,TOTAL,,,,,,,,,,,,,
,Organic Search,,,,,,,,,,,,,
,Direct,,,,,,,,,,,,,
,Referral,,,,,,,,,,,,,
,Unassigned,,,,,,,,,,,,,
,Paid Search,,,,,,,,,,,,,
,Organic Social,,,,,,,,,,,,,
,Organic Shopping,,,,,,,,,,,,,
,Display,,,,,,,,,,,,,
,Organic Video,,,,,,,,,,,,,
,Cross-network,,,,,,,,,,,,,
May 2026,TOTAL,,,,,,,,,,,,,
,Organic Search,,,,,,,,,,,,,
,Direct,,,,,,,,,,,,,
,Paid Search,,,,,,,,,,,,,
,Referral,,,,,,,,,,,,,
,Unassigned,,,,,,,,,,,,,
,Organic Social,,,,,,,,,,,,,
,Organic Video,,,,,,,,,,,,,
,Organic Shopping,,,,,,,,,,,,,
,Cross-network,,,,,,,,,,,,,
,Paid Social,,,,,,,,,,,,,